Ativo,cod_Ativo_guess_norm,cod_Ativo_norm_match,Fundo,Fundo_final
LFSN2200G7D,LFSN2200G7D,LFSN2200G7D,FIRF GERAES 30,FIRF GERAES 30
LFSN2200G2K,LFSN2200G2K,LFSN2200G2K,HORIZONTE FIM,HORIZONTE FIM
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,HORIZONTE FIM,HORIZONTE FIM
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,MANACA INFRA,MANACA INFRA
LFSC24000BB,LFSC24000BB,LFSC24000BB,BH INFRA,BH INFRA
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES,FIRF GERAES
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES 30,FIRF GERAES 30
LFSC24000BB,LFSC24000BB,LFSC24000BB,HORIZONTE FIM,HORIZONTE FIM
LFSC24000BB,LFSC24000BB,LFSC24000BB,MANACA INFRA,MANACA INFRA
LFSC24000BB,LFSC24000BB,LFSC24000BB,TOPAZIO INFRA,TOPAZIO INFRA
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES,FIRF GERAES
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES 30,FIRF GERAES 30
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,HORIZONTE FIM,HORIZONTE FIM
LFSC19005L3,LFSC19005L3,LFSC19005L3,BH INFRA,BH INFRA
LFSC190054D,LFSC190054D,LFSC190054D,BH INFRA,BH INFRA
LFSC190054D,LFSC190054D,LFSC190054D,FIRF GERAES,FIRF GERAES
LFSC19005FF,LFSC19005FF,LFSC19005FF,FIRF GERAES 30,FIRF GERAES 30
LFSC19005L3,LFSC19005L3,LFSC19005L3,FIRF GERAES 30,FIRF GERAES 30
LFSC190054I,LFSC190054I,LFSC190054I,FIRF GERAES 30,FIRF GERAES 30
LFSC19005L1,LFSC19005L1,LFSC19005L1,HORIZONTE FIM,HORIZONTE FIM
LFSC19005FF,LFSC19005FF,LFSC19005FF,HORIZONTE FIM,HORIZONTE FIM
LFSC190054I,LFSC190054I,LFSC190054I,HORIZONTE FIM,HORIZONTE FIM
LFSC190054C,LFSC190054C,LFSC190054C,HORIZONTE FIM,HORIZONTE FIM
LFSC190059S,LFSC190059S,LFSC190059S,HORIZONTE FIM,HORIZONTE FIM
LFSC190054D,LFSC190054D,LFSC190054D,HORIZONTE FIM,HORIZONTE FIM
LFSC190054D,LFSC190054D,LFSC190054D,MANACA INFRA,MANACA INFRA
LFSC25004NH,LFSC25004NH,LFSC25004NH,FIRF GERAES,FIRF GERAES
LFSC25004NH,LFSC25004NH,LFSC25004NH,FIRF GERAES 30,FIRF GERAES 30
LFSC25004NH,LFSC25004NH,LFSC25004NH,HORIZONTE FIM,HORIZONTE FIM
LFSC24001JT,LFSC24001JT,LFSC24001JT,BH INFRA,BH INFRA
LFSC24001P6,LFSC24001P6,LFSC24001P6,BH INFRA,BH INFRA
LFSC24001JQ,LFSC24001JQ,LFSC24001JQ,FIRF GERAES,FIRF GERAES
LFSC24001JR,LFSC24001JR,LFSC24001JR,FIRF GERAES 30,FIRF GERAES 30
LFSC24001JU,LFSC24001JU,LFSC24001JU,HORIZONTE FIM,HORIZONTE FIM
LFSC24001JS,LFSC24001JS,LFSC24001JS,MANACA INFRA,MANACA INFRA
LFSC24001P5,LFSC24001P5,,TOPAZIO INFRA,TOPAZIO INFRA
LF002305RGO,LF002305RGO,LF002305RGO,BH INFRA,BH INFRA
LF002400951,LF002400951,,BH INFRA,BH INFRA
LF002400951,LF002400951,,FIRF GERAES,FIRF GERAES
LF002305RFW,LF002305RFW,LF002305RFW,FIRF GERAES,FIRF GERAES
LF002305RFO,LF002305RFO,LF002305RFO,FIRF GERAES,FIRF GERAES
LF002400951,LF002400951,,FIRF GERAES 30,FIRF GERAES 30
LF002305RGL,LF002305RGL,LF002305RGL,HORIZONTE FIM,HORIZONTE FIM
LF002400951,LF002400951,,HORIZONTE FIM,HORIZONTE FIM
LF002305RG9,LF002305RG9,LF002305RG9,MANACA INFRA,MANACA INFRA
LF002400951,LF002400951,,MANACA INFRA,MANACA INFRA
LF002400ATX,LF002400ATX,,BH INFRA,BH INFRA
LF002400BZO,LF002400BZO,LF002400BZO,FIRF GERAES,FIRF GERAES
LF002400BZO,LF002400BZO,LF002400BZO,FIRF GERAES 30,FIRF GERAES 30
LF0024007OE,LF0024007OE,LF0024007OE,BH INFRA,BH INFRA
LF002400GAO,LF002400GAO,LF002400GAO,FIRF GERAES,FIRF GERAES
LF0024007OE,LF0024007OE,LF0024007OE,FIRF GERAES,FIRF GERAES
LF002400GAO,LF002400GAO,LF002400GAO,FIRF GERAES 30,FIRF GERAES 30
LF0024007OE,LF0024007OE,LF0024007OE,FIRF GERAES 30,FIRF GERAES 30
LF0024007OE,LF0024007OE,LF0024007OE,HORIZONTE FIM,HORIZONTE FIM
LF0024007OE,LF0024007OE,LF0024007OE,MANACA INFRA,MANACA INFRA
LF002400LQY,LF002400LQY,LF002400LQY,BBRASIL FIM,BBRASIL FIM
LF0024008OB,LF0024008OB,LF0024008OB,FIRF GERAES,FIRF GERAES
LF XP,,,FIRF GERAES,FIRF GERAES
LF002400Q09,LF002400Q09,LF002400Q09,BH INFRA,BH INFRA
LF002400Q0C,LF002400Q0C,LF002400Q0C,FIRF GERAES,FIRF GERAES
LF002400Q0B,LF002400Q0B,LF002400Q0B,FIRF GERAES,FIRF GERAES
LF002400Q0D,LF002400Q0D,LF002400Q0D,FIRF GERAES 30,FIRF GERAES 30
LF002400EY5,LF002400EY5,LF002400EY5,BH INFRA,BH INFRA
LF002400EY5,LF002400EY5,LF002400EY5,FIRF GERAES,FIRF GERAES
