Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;5;7;14,90
DI x pré;9;11;14,90
DI x pré;10;16;14,90
DI x pré;11;17;14,90
DI x pré;12;18;14,90
DI x pré;13;21;14,90
DI x pré;15;23;14,90
DI x pré;16;24;14,90
DI x pré;17;25;14,90
DI x pré;18;28;14,90
DI x pré;20;30;14,89
DI x pré;28;42;14,85
DI x pré;29;43;14,84
DI x pré;30;44;14,84
DI x pré;31;45;14,84
DI x pré;32;46;14,83
DI x pré;33;49;14,83
DI x pré;37;53;14,82
DI x pré;38;56;14,82
DI x pré;39;57;14,82
DI x pré;40;58;14,82
DI x pré;42;63;14,80
DI x pré;48;71;14,76
DI x pré;49;72;14,76
DI x pré;50;73;14,75
DI x pré;51;74;14,75
DI x pré;55;81;14,73
DI x pré;57;85;14,72
DI x pré;59;87;14,71
DI x pré;60;91;14,71
DI x pré;67;100;14,64
DI x pré;69;102;14,62
DI x pré;71;106;14,61
DI x pré;72;107;14,60
DI x pré;73;108;14,59
DI x pré;79;116;14,55
DI x pré;80;119;14,55
DI x pré;81;120;14,54
DI x pré;89;133;14,47
DI x pré;90;134;14,46
DI x pré;91;135;14,45
DI x pré;92;136;14,45
DI x pré;93;137;14,44
DI x pré;98;144;14,41
DI x pré;99;147;14,40
DI x pré;100;148;14,40
DI x pré;101;149;14,39
DI x pré;102;150;14,38
DI x pré;111;163;14,31
DI x pré;117;171;14,27
DI x pré;122;178;14,23
DI x pré;123;179;14,23
DI x pré;124;182;14,22
DI x pré;131;191;14,16
DI x pré;134;196;14,14
DI x pré;142;206;14,07
DI x pré;143;207;14,07
DI x pré;144;210;14,06
DI x pré;145;211;14,05
DI x pré;154;225;13,98
DI x pré;155;226;13,97
DI x pré;157;228;13,95
DI x pré;159;232;13,94
DI x pré;165;240;13,90
DI x pré;166;241;13,89
DI x pré;174;254;13,83
DI x pré;175;255;13,82
DI x pré;176;256;13,81
DI x pré;184;268;13,76
DI x pré;186;270;13,74
DI x pré;187;274;13,74
DI x pré;196;287;13,67
DI x pré;198;289;13,66
DI x pré;199;290;13,65
DI x pré;205;301;13,61
DI x pré;206;302;13,61
DI x pré;216;316;13,53
DI x pré;217;317;13,53
DI x pré;219;319;13,51
DI x pré;224;329;13,48
DI x pré;225;330;13,48
DI x pré;226;331;13,47
DI x pré;228;336;13,46
DI x pré;237;347;13,41
DI x pré;246;360;13,36
DI x pré;247;361;13,35
DI x pré;248;364;13,35
DI x pré;256;378;13,31
DI x pré;257;379;13,30
DI x pré;258;380;13,30
DI x pré;263;387;13,27
DI x pré;264;388;13,27
DI x pré;265;389;13,26
DI x pré;266;392;13,26
DI x pré;276;406;13,21
DI x pré;285;420;13,17
DI x pré;287;422;13,17
DI x pré;288;423;13,16
DI x pré;297;436;13,12
DI x pré;306;450;13,09
DI x pré;307;451;13,08
DI x pré;319;469;13,04
DI x pré;327;480;13,01
DI x pré;340;499;12,97
DI x pré;348;511;12,94
DI x pré;351;514;12,94
DI x pré;369;540;12,89
DI x pré;373;546;12,88
DI x pré;383;560;12,86
DI x pré;385;562;12,86
DI x pré;391;570;12,85
DI x pré;404;590;12,82
DI x pré;409;597;12,81
DI x pré;412;602;12,81
DI x pré;416;606;12,80
DI x pré;423;618;12,79
DI x pré;431;630;12,78
DI x pré;445;652;12,76
DI x pré;451;660;12,75
DI x pré;466;681;12,73
DI x pré;473;690;12,73
DI x pré;479;700;12,72
DI x pré;494;721;12,71
DI x pré;510;743;12,71
DI x pré;511;744;12,71
DI x pré;515;750;12,71
