Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,65
DI x pré;2;2;14,60
DI x pré;3;6;14,59
DI x pré;4;7;14,54
DI x pré;9;14;14,46
DI x pré;10;15;14,46
DI x pré;12;17;14,45
DI x pré;13;20;14,45
DI x pré;14;21;14,44
DI x pré;15;22;14,44
DI x pré;16;23;14,44
DI x pré;20;29;14,43
DI x pré;21;30;14,43
DI x pré;22;31;14,43
DI x pré;23;34;14,43
DI x pré;32;48;14,40
DI x pré;33;49;14,40
DI x pré;34;50;14,40
DI x pré;35;51;14,39
DI x pré;36;52;14,39
DI x pré;41;59;14,39
DI x pré;42;62;14,38
DI x pré;43;63;14,38
DI x pré;44;64;14,38
DI x pré;53;77;14,35
DI x pré;54;78;14,35
DI x pré;60;86;14,34
DI x pré;62;90;14,33
DI x pré;64;92;14,33
DI x pré;65;93;14,33
DI x pré;66;94;14,33
DI x pré;67;97;14,32
DI x pré;74;106;14,30
DI x pré;77;111;14,29
DI x pré;78;112;14,29
DI x pré;79;113;14,28
DI x pré;81;115;14,28
DI x pré;84;120;14,27
DI x pré;85;121;14,27
DI x pré;86;122;14,27
DI x pré;87;125;14,26
DI x pré;88;126;14,26
DI x pré;97;140;14,24
DI x pré;98;141;14,24
DI x pré;99;142;14,24
DI x pré;100;143;14,24
DI x pré;102;147;14,24
DI x pré;105;150;14,23
DI x pré;108;155;14,23
DI x pré;109;156;14,23
DI x pré;117;169;14,21
DI x pré;118;170;14,21
DI x pré;119;171;14,21
DI x pré;121;175;14,20
DI x pré;125;181;14,20
DI x pré;127;183;14,19
DI x pré;129;185;14,19
DI x pré;130;189;14,19
DI x pré;139;202;14,18
DI x pré;141;204;14,18
DI x pré;142;205;14,18
DI x pré;144;210;14,18
DI x pré;148;216;14,17
DI x pré;149;217;14,17
DI x pré;159;231;14,15
DI x pré;160;232;14,15
DI x pré;162;234;14,14
DI x pré;166;240;14,14
DI x pré;167;244;14,13
DI x pré;168;245;14,13
DI x pré;169;246;14,13
DI x pré;171;251;14,13
DI x pré;180;262;14,11
DI x pré;186;272;14,11
DI x pré;190;276;14,10
DI x pré;191;279;14,10
DI x pré;199;293;14,09
DI x pré;200;294;14,09
DI x pré;201;295;14,09
DI x pré;204;300;14,09
DI x pré;206;302;14,08
DI x pré;207;303;14,08
DI x pré;208;304;14,08
DI x pré;209;307;14,08
DI x pré;219;321;14,06
DI x pré;223;325;14,06
DI x pré;224;328;14,06
DI x pré;226;330;14,05
DI x pré;230;337;14,05
DI x pré;231;338;14,05
DI x pré;240;351;14,03
DI x pré;242;353;14,03
DI x pré;246;360;14,02
DI x pré;249;365;14,01
DI x pré;250;366;14,01
DI x pré;262;384;13,99
DI x pré;267;391;13,99
DI x pré;271;398;13,98
DI x pré;283;414;13,97
DI x pré;287;420;13,96
DI x pré;294;429;13,95
DI x pré;304;443;13,93
DI x pré;309;450;13,92
DI x pré;316;461;13,91
DI x pré;326;475;13,89
DI x pré;328;477;13,89
DI x pré;331;482;13,89
DI x pré;347;505;13,87
DI x pré;350;510;13,86
DI x pré;352;512;13,86
DI x pré;359;521;13,85
DI x pré;366;533;13,84
DI x pré;371;540;13,83
DI x pré;379;552;13,81
DI x pré;388;567;13,79
DI x pré;391;570;13,79
