Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;3;14,65
DI x pré;2;4;14,65
DI x pré;3;5;14,64
DI x pré;5;10;14,64
DI x pré;9;14;14,64
DI x pré;10;17;14,64
DI x pré;11;18;14,64
DI x pré;12;19;14,64
DI x pré;13;20;14,64
DI x pré;14;21;14,64
DI x pré;18;28;14,64
DI x pré;19;31;14,64
DI x pré;20;32;14,64
DI x pré;21;33;14,64
DI x pré;22;34;14,64
DI x pré;23;38;14,64
DI x pré;30;47;14,60
DI x pré;32;49;14,59
DI x pré;33;52;14,59
DI x pré;34;53;14,59
DI x pré;35;54;14,58
DI x pré;36;55;14,58
DI x pré;39;60;14,57
DI x pré;40;61;14,57
DI x pré;42;63;14,56
DI x pré;43;66;14,56
DI x pré;52;80;14,54
DI x pré;53;81;14,54
DI x pré;54;82;14,54
DI x pré;55;83;14,54
DI x pré;56;84;14,53
DI x pré;60;90;14,53
DI x pré;61;91;14,53
DI x pré;62;94;14,53
DI x pré;63;95;14,53
DI x pré;64;96;14,52
DI x pré;73;109;14,51
DI x pré;74;110;14,50
DI x pré;80;118;14,49
DI x pré;82;122;14,49
DI x pré;85;125;14,49
DI x pré;86;126;14,49
DI x pré;87;129;14,49
DI x pré;94;138;14,47
DI x pré;97;143;14,46
DI x pré;98;144;14,46
DI x pré;99;145;14,46
DI x pré;101;147;14,45
DI x pré;102;150;14,45
DI x pré;105;153;14,45
DI x pré;106;154;14,44
DI x pré;107;157;14,44
DI x pré;108;158;14,44
DI x pré;117;172;14,43
DI x pré;118;173;14,43
DI x pré;119;174;14,43
DI x pré;120;175;14,43
DI x pré;122;179;14,43
DI x pré;123;180;14,43
DI x pré;128;187;14,42
DI x pré;129;188;14,42
DI x pré;137;201;14,41
DI x pré;138;202;14,41
DI x pré;139;203;14,41
DI x pré;144;210;14,41
DI x pré;147;215;14,41
DI x pré;149;217;14,40
DI x pré;150;221;14,40
DI x pré;159;234;14,40
DI x pré;161;236;14,40
DI x pré;162;237;14,40
DI x pré;163;241;14,40
DI x pré;168;248;14,40
DI x pré;169;249;14,40
DI x pré;179;263;14,39
DI x pré;180;264;14,39
DI x pré;182;266;14,38
DI x pré;184;270;14,38
DI x pré;187;276;14,38
DI x pré;188;277;14,38
DI x pré;189;278;14,37
DI x pré;191;283;14,37
DI x pré;200;294;14,37
DI x pré;204;300;14,37
DI x pré;210;308;14,37
DI x pré;211;311;14,37
DI x pré;219;325;14,36
DI x pré;220;326;14,36
DI x pré;221;327;14,36
DI x pré;224;332;14,36
DI x pré;226;334;14,36
DI x pré;227;335;14,36
DI x pré;228;336;14,36
DI x pré;229;339;14,36
DI x pré;239;353;14,35
DI x pré;243;357;14,35
DI x pré;244;360;14,35
DI x pré;250;369;14,34
DI x pré;251;370;14,34
DI x pré;260;383;14,33
DI x pré;262;385;14,33
DI x pré;265;391;14,33
DI x pré;270;398;14,33
DI x pré;282;416;14,32
DI x pré;286;420;14,32
DI x pré;303;446;14,30
DI x pré;306;451;14,30
DI x pré;314;461;14,30
DI x pré;324;475;14,29
DI x pré;327;480;14,29
DI x pré;336;493;14,28
DI x pré;346;507;14,27
DI x pré;348;509;14,27
DI x pré;349;510;14,27
DI x pré;367;537;14,26
DI x pré;370;542;14,26
DI x pré;372;544;14,26
DI x pré;379;553;14,26
DI x pré;386;565;14,25
DI x pré;389;570;14,24
DI x pré;399;584;14,23
DI x pré;408;599;14,21
DI x pré;409;600;14,21
DI x pré;419;614;14,20
DI x pré;429;628;14,19
DI x pré;431;630;14,19
DI x pré;442;647;14,18
DI x pré;452;661;14,17
DI x pré;473;690;14,16
DI x pré;474;691;14,16
DI x pré;492;719;14,15
DI x pré;493;720;14,15
DI x pré;505;738;14,14
DI x pré;512;747;14,14
DI x pré;514;752;14,14
DI x pré;532;780;14,14
DI x pré;545;797;14,14
DI x pré;554;810;14,13
DI x pré;558;817;14,13
DI x pré;566;829;14,13
DI x pré;575;840;14,13
DI x pré;596;871;14,13
DI x pré;597;872;14,13
DI x pré;610;889;14,12
DI x pré;616;900;14,12
DI x pré;622;908;14,12
