Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;13,90
DI x pré;5;8;13,81
DI x pré;9;14;13,80
DI x pré;10;15;13,80
DI x pré;11;16;13,80
DI x pré;12;17;13,80
DI x pré;13;18;13,80
DI x pré;14;21;13,80
DI x pré;15;22;13,80
DI x pré;18;25;13,80
DI x pré;19;28;13,80
DI x pré;20;29;13,80
DI x pré;21;30;13,80
DI x pré;22;31;13,80
DI x pré;30;44;13,76
DI x pré;31;45;13,76
DI x pré;32;46;13,75
DI x pré;33;49;13,75
DI x pré;34;50;13,75
DI x pré;35;51;13,75
DI x pré;40;58;13,73
DI x pré;41;59;13,73
DI x pré;42;60;13,73
DI x pré;43;64;13,73
DI x pré;52;77;13,69
DI x pré;53;78;13,69
DI x pré;54;79;13,69
DI x pré;55;80;13,68
DI x pré;59;87;13,67
DI x pré;61;91;13,67
DI x pré;62;92;13,67
DI x pré;72;106;13,64
DI x pré;73;107;13,64
DI x pré;74;108;13,63
DI x pré;75;109;13,63
DI x pré;80;119;13,62
DI x pré;81;120;13,62
DI x pré;82;121;13,62
DI x pré;84;126;13,61
DI x pré;93;137;13,60
DI x pré;94;140;13,60
DI x pré;96;142;13,60
DI x pré;102;150;13,59
DI x pré;103;151;13,59
DI x pré;104;154;13,59
DI x pré;111;165;13,59
DI x pré;112;168;13,59
DI x pré;113;169;13,59
DI x pré;114;170;13,59
DI x pré;119;177;13,59
DI x pré;120;178;13,60
DI x pré;121;179;13,60
DI x pré;122;182;13,60
DI x pré;132;196;13,60
DI x pré;136;200;13,61
DI x pré;137;203;13,61
DI x pré;141;210;13,61
DI x pré;143;212;13,61
DI x pré;144;213;13,61
DI x pré;153;226;13,62
DI x pré;155;228;13,62
DI x pré;162;240;13,62
DI x pré;163;241;13,62
DI x pré;164;242;13,62
DI x pré;165;245;13,62
DI x pré;175;259;13,63
DI x pré;178;262;13,63
DI x pré;183;270;13,63
DI x pré;184;273;13,63
DI x pré;185;274;13,64
DI x pré;196;289;13,65
DI x pré;198;291;13,65
DI x pré;204;301;13,66
DI x pré;205;302;13,66
DI x pré;206;303;13,66
DI x pré;207;304;13,67
DI x pré;217;318;13,68
DI x pré;225;330;13,69
DI x pré;227;332;13,69
DI x pré;229;336;13,69
DI x pré;238;347;13,70
DI x pré;239;350;13,71
DI x pré;241;352;13,71
DI x pré;247;360;13,72
DI x pré;249;364;13,72
DI x pré;260;380;13,73
DI x pré;265;387;13,74
DI x pré;268;392;13,74
DI x pré;272;396;13,75
DI x pré;279;408;13,75
DI x pré;287;420;13,76
DI x pré;291;424;13,76
DI x pré;292;427;13,76
DI x pré;301;442;13,77
DI x pré;307;450;13,78
DI x pré;312;457;13,79
DI x pré;322;471;13,80
DI x pré;326;477;13,80
DI x pré;329;480;13,81
DI x pré;333;486;13,81
DI x pré;335;490;13,82
DI x pré;345;504;13,83
DI x pré;350;511;13,84
DI x pré;355;518;13,85
DI x pré;366;533;13,87
DI x pré;367;534;13,87
DI x pré;371;540;13,87
DI x pré;385;562;13,89
DI x pré;391;570;13,90
DI x pré;398;581;13,91
DI x pré;405;590;13,92
DI x pré;411;602;13,94
DI x pré;425;623;13,96
DI x pré;430;630;13,97
DI x pré;438;640;13,98
DI x pré;447;653;14,00
DI x pré;451;660;14,01
DI x pré;459;672;14,02
DI x pré;473;690;14,04
DI x pré;490;715;14,07
DI x pré;491;716;14,07
DI x pré;494;721;14,08
DI x pré;503;732;14,09
DI x pré;514;750;14,11
DI x pré;515;751;14,11
DI x pré;523;763;14,12
DI x pré;535;780;14,13
DI x pré;544;793;14,14
DI x pré;553;808;14,15
DI x pré;555;813;14,16
DI x pré;563;823;14,17
DI x pré;574;840;14,18
DI x pré;576;842;14,18
DI x pré;583;855;14,19
DI x pré;594;870;14,20
DI x pré;613;899;14,23
DI x pré;614;900;14,23
DI x pré;635;931;14,26
DI x pré;644;945;14,27
DI x pré;655;960;14,28
DI x pré;674;988;14,30
DI x pré;676;990;14,30
DI x pré;697;1022;14,32
DI x pré;707;1036;14,33
DI x pré;717;1050;14,34
DI x pré;729;1066;14,34
DI x pré;739;1080;14,35
DI x pré;760;1110;14,36
DI x pré;771;1127;14,37
DI x pré;780;1141;14,37
DI x pré;793;1158;14,38
DI x pré;800;1170;14,38
DI x pré;802;1173;14,38
DI x pré;812;1190;14,39
DI x pré;820;1200;14,39
DI x pré;832;1220;14,40
DI x pré;864;1264;14,41
DI x pré;893;1309;14,42
DI x pré;923;1353;14,44
DI x pré;955;1400;14,45
DI x pré;985;1442;14,46
DI x pré;988;1445;14,46
DI x pré;1012;1479;14,47
DI x pré;1021;1492;14,47
DI x pré;1054;1540;14,49
DI x pré;1075;1570;14,50
DI x pré;1084;1585;14,50
DI x pré;1116;1631;14,51
DI x pré;1136;1661;14,51
DI x pré;1145;1674;14,52
DI x pré;1174;1718;14,52
DI x pré;1186;1736;14,52
DI x pré;1197;1752;14,52
DI x pré;1206;1765;14,53
DI x pré;1231;1800;14,53
DI x pré;1239;1810;14,53
DI x pré;1250;1827;14,54
DI x pré;1262;1843;14,54
DI x pré;1272;1857;14,54
DI x pré;1305;1904;14,56
DI x pré;1314;1918;14,56
DI x pré;1326;1934;14,57
DI x pré;1336;1950;14,57
DI x pré;1365;1995;14,58
DI x pré;1428;2086;14,58
DI x pré;1481;2160;14,59
