Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,65
DI x pré;2;4;14,65
DI x pré;5;7;14,65
DI x pré;6;8;14,65
DI x pré;7;11;14,65
DI x pré;8;12;14,65
DI x pré;9;13;14,65
DI x pré;10;14;14,65
DI x pré;14;21;14,65
DI x pré;16;25;14,65
DI x pré;17;26;14,65
DI x pré;18;27;14,65
DI x pré;19;28;14,65
DI x pré;20;29;14,65
DI x pré;21;32;14,65
DI x pré;24;36;14,65
DI x pré;26;40;14,65
DI x pré;27;41;14,65
DI x pré;28;42;14,65
DI x pré;29;46;14,65
DI x pré;36;55;14,58
DI x pré;38;57;14,56
DI x pré;39;60;14,56
DI x pré;40;61;14,55
DI x pré;41;62;14,54
DI x pré;42;63;14,54
DI x pré;46;69;14,52
DI x pré;48;71;14,51
DI x pré;49;74;14,50
DI x pré;58;88;14,46
DI x pré;59;89;14,46
DI x pré;60;90;14,45
DI x pré;61;91;14,45
DI x pré;62;92;14,45
DI x pré;67;99;14,43
DI x pré;68;102;14,43
DI x pré;69;103;14,43
DI x pré;70;104;14,42
DI x pré;79;117;14,38
DI x pré;80;118;14,38
DI x pré;82;120;14,37
DI x pré;86;126;14,36
DI x pré;91;133;14,34
DI x pré;92;134;14,34
DI x pré;93;137;14,34
DI x pré;100;146;14,31
DI x pré;103;151;14,29
DI x pré;104;152;14,29
DI x pré;105;153;14,29
DI x pré;107;155;14,28
DI x pré;111;161;14,26
DI x pré;112;162;14,26
DI x pré;113;165;14,26
DI x pré;114;166;14,25
DI x pré;123;180;14,23
DI x pré;124;181;14,22
DI x pré;125;182;14,22
DI x pré;126;183;14,22
DI x pré;128;187;14,21
DI x pré;134;195;14,20
DI x pré;135;196;14,20
DI x pré;143;209;14,17
DI x pré;144;210;14,16
DI x pré;145;211;14,16
DI x pré;153;223;14,14
DI x pré;155;225;14,13
DI x pré;156;229;14,13
DI x pré;165;242;14,11
DI x pré;167;244;14,11
DI x pré;168;245;14,10
DI x pré;174;256;14,09
DI x pré;175;257;14,09
DI x pré;184;270;14,06
DI x pré;185;271;14,06
DI x pré;186;272;14,05
DI x pré;188;274;14,05
DI x pré;193;284;14,03
DI x pré;194;285;14,03
DI x pré;195;286;14,02
DI x pré;197;291;14,02
DI x pré;204;300;14,00
DI x pré;206;302;14,00
DI x pré;216;316;13,98
DI x pré;217;319;13,98
DI x pré;224;330;13,97
DI x pré;225;333;13,97
DI x pré;226;334;13,97
DI x pré;227;335;13,97
DI x pré;232;342;13,96
DI x pré;233;343;13,96
DI x pré;234;344;13,96
