Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,15
DI x pré;5;7;13,98
DI x pré;7;9;13,97
DI x pré;10;14;13,96
DI x pré;11;15;13,96
DI x pré;12;16;13,96
DI x pré;14;18;13,96
DI x pré;15;21;13,96
DI x pré;18;24;13,95
DI x pré;19;25;13,95
DI x pré;20;28;13,95
DI x pré;21;29;13,95
DI x pré;22;30;13,95
DI x pré;29;42;13,92
DI x pré;30;43;13,92
DI x pré;31;44;13,92
DI x pré;32;45;13,91
DI x pré;33;46;13,91
DI x pré;35;50;13,91
DI x pré;38;53;13,90
DI x pré;39;56;13,90
DI x pré;40;57;13,90
DI x pré;41;58;13,90
DI x pré;42;59;13,90
DI x pré;43;60;13,89
DI x pré;50;72;13,87
DI x pré;51;73;13,87
DI x pré;52;74;13,87
DI x pré;54;78;13,86
DI x pré;55;79;13,86
DI x pré;60;86;13,85
DI x pré;61;87;13,85
DI x pré;62;88;13,84
DI x pré;63;92;13,84
DI x pré;72;105;13,83
DI x pré;73;106;13,82
DI x pré;74;107;13,82
DI x pré;75;108;13,82
DI x pré;81;119;13,81
DI x pré;82;120;13,81
DI x pré;92;134;13,81
DI x pré;93;135;13,81
DI x pré;94;136;13,80
DI x pré;95;137;13,80
DI x pré;100;147;13,80
DI x pré;101;148;13,80
DI x pré;102;149;13,80
DI x pré;103;150;13,80
DI x pré;104;154;13,80
DI x pré;113;165;13,80
DI x pré;114;168;13,80
DI x pré;123;179;13,80
DI x pré;124;182;13,80
DI x pré;131;193;13,80
DI x pré;132;196;13,80
DI x pré;133;197;13,80
DI x pré;134;198;13,80
DI x pré;139;205;13,80
DI x pré;140;206;13,80
DI x pré;141;207;13,80
DI x pré;142;210;13,80
DI x pré;152;224;13,80
DI x pré;156;228;13,80
DI x pré;157;231;13,80
DI x pré;161;238;13,80
DI x pré;163;240;13,80
DI x pré;164;241;13,80
DI x pré;173;254;13,80
DI x pré;175;256;13,80
DI x pré;182;268;13,80
DI x pré;183;269;13,80
DI x pré;184;270;13,80
DI x pré;185;273;13,80
DI x pré;195;287;13,80
DI x pré;198;290;13,80
