Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;3;14,40
DI x pré;2;4;14,40
DI x pré;3;5;14,40
DI x pré;4;6;14,40
DI x pré;5;7;14,40
DI x pré;8;12;14,40
DI x pré;9;13;14,40
DI x pré;10;14;14,40
DI x pré;11;17;14,40
DI x pré;14;21;14,39
DI x pré;20;31;14,38
DI x pré;21;32;14,38
DI x pré;22;33;14,38
DI x pré;23;34;14,38
DI x pré;24;35;14,38
DI x pré;29;42;14,37
DI x pré;30;45;14,37
DI x pré;31;46;14,37
DI x pré;32;47;14,37
DI x pré;40;59;14,35
DI x pré;41;60;14,35
DI x pré;42;61;14,35
DI x pré;44;63;14,35
DI x pré;48;69;14,34
DI x pré;52;75;14,33
DI x pré;53;76;14,33
DI x pré;54;77;14,33
DI x pré;55;80;14,33
DI x pré;62;89;14,31
DI x pré;63;90;14,31
DI x pré;65;94;14,31
DI x pré;66;95;14,31
DI x pré;67;96;14,31
DI x pré;69;98;14,30
DI x pré;73;104;14,30
DI x pré;74;105;14,29
DI x pré;75;108;14,29
DI x pré;76;109;14,29
DI x pré;84;122;14,28
DI x pré;85;123;14,28
DI x pré;86;124;14,28
DI x pré;87;125;14,28
DI x pré;88;126;14,28
DI x pré;90;130;14,28
DI x pré;96;138;14,27
DI x pré;97;139;14,27
DI x pré;104;151;14,27
DI x pré;105;152;14,26
DI x pré;106;153;14,26
DI x pré;107;154;14,26
DI x pré;109;158;14,26
DI x pré;110;159;14,26
DI x pré;115;166;14,26
DI x pré;116;167;14,26
DI x pré;117;168;14,26
DI x pré;118;172;14,26
DI x pré;124;180;14,26
DI x pré;127;185;14,26
DI x pré;128;186;14,26
DI x pré;129;187;14,26
DI x pré;130;188;14,26
DI x pré;136;199;14,26
DI x pré;137;200;14,26
DI x pré;145;210;14,25
DI x pré;147;214;14,24
DI x pré;148;215;14,24
DI x pré;150;217;14,24
DI x pré;155;227;14,23
DI x pré;156;228;14,23
DI x pré;157;229;14,23
DI x pré;159;234;14,23
DI x pré;164;241;14,23
DI x pré;168;245;14,23
DI x pré;178;259;14,23
DI x pré;179;262;14,23
DI x pré;184;271;14,23
DI x pré;186;273;14,23
DI x pré;187;276;14,23
DI x pré;188;277;14,23
DI x pré;189;278;14,23
DI x pré;194;285;14,23
DI x pré;195;286;14,23
DI x pré;196;287;14,23
DI x pré;197;290;14,23
DI x pré;205;300;14,22
DI x pré;207;304;14,22
DI x pré;211;308;14,22
DI x pré;212;311;14,22
DI x pré;216;318;14,21
DI x pré;218;320;14,21
DI x pré;219;321;14,21
DI x pré;226;332;14,21
DI x pré;228;334;14,21
DI x pré;230;336;14,21
DI x pré;237;348;14,21
DI x pré;238;349;14,21
DI x pré;239;350;14,21
DI x pré;240;353;14,21
DI x pré;245;360;14,21
DI x pré;250;367;14,21
DI x pré;259;381;14,21
DI x pré;266;390;14,21
DI x pré;271;397;14,20
DI x pré;280;410;14,20
DI x pré;282;412;14,20
DI x pré;288;420;14,20
DI x pré;292;426;14,19
DI x pré;304;444;14,18
