Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;2;2;14,90
DI x pré;3;5;14,90
DI x pré;5;7;14,82
DI x pré;10;14;14,77
DI x pré;13;19;14,76
DI x pré;14;20;14,75
DI x pré;15;21;14,75
DI x pré;16;22;14,75
DI x pré;17;23;14,75
DI x pré;18;26;14,75
DI x pré;22;30;14,74
DI x pré;23;33;14,74
DI x pré;24;34;14,74
DI x pré;25;35;14,74
DI x pré;32;47;14,67
DI x pré;33;48;14,66
DI x pré;34;49;14,65
DI x pré;35;50;14,64
DI x pré;36;51;14,64
DI x pré;40;58;14,62
DI x pré;41;61;14,61
DI x pré;42;62;14,61
DI x pré;44;64;14,60
DI x pré;45;68;14,59
DI x pré;52;77;14,50
DI x pré;54;79;14,47
DI x pré;56;83;14,45
DI x pré;57;84;14,44
DI x pré;58;85;14,43
DI x pré;61;90;14,41
DI x pré;62;91;14,40
DI x pré;64;93;14,38
DI x pré;65;96;14,37
DI x pré;74;110;14,28
DI x pré;75;111;14,28
DI x pré;76;112;14,27
DI x pré;77;113;14,26
DI x pré;78;114;14,25
DI x pré;82;120;14,22
DI x pré;83;121;14,21
DI x pré;84;124;14,21
DI x pré;85;125;14,20
DI x pré;86;126;14,19
DI x pré;95;139;14,11
DI x pré;96;140;14,10
DI x pré;102;148;14,06
DI x pré;104;152;14,04
DI x pré;107;155;14,02
DI x pré;108;156;14,02
DI x pré;109;159;14,01
DI x pré;116;168;13,94
DI x pré;119;173;13,92
DI x pré;124;180;13,88
DI x pré;127;183;13,85
DI x pré;128;184;13,85
DI x pré;129;187;13,84
DI x pré;130;188;13,83
DI x pré;139;202;13,75
DI x pré;140;203;13,74
DI x pré;142;205;13,73
DI x pré;144;209;13,71
DI x pré;145;210;13,71
DI x pré;150;217;13,67
DI x pré;151;218;13,66
DI x pré;159;231;13,60
DI x pré;160;232;13,59
DI x pré;161;233;13,59
DI x pré;166;240;13,55
DI x pré;169;245;13,53
DI x pré;171;247;13,52
DI x pré;172;251;13,51
DI x pré;181;264;13,45
DI x pré;183;266;13,43
DI x pré;184;267;13,43
DI x pré;185;271;13,42
DI x pré;190;278;13,39
DI x pré;191;279;13,38
DI x pré;201;293;13,31
DI x pré;202;294;13,31
DI x pré;204;296;13,29
DI x pré;206;300;13,28
DI x pré;209;306;13,26
DI x pré;210;307;13,26
DI x pré;211;308;13,25
DI x pré;213;313;13,24
DI x pré;222;324;13,19
DI x pré;226;330;13,17
DI x pré;232;338;13,14
DI x pré;233;341;13,14
DI x pré;241;355;13,10
DI x pré;242;356;13,09
DI x pré;243;357;13,09
DI x pré;246;362;13,07
DI x pré;248;364;13,06
DI x pré;249;365;13,06
DI x pré;250;366;13,05
DI x pré;261;383;13,01
DI x pré;266;390;12,98
DI x pré;272;399;12,96
DI x pré;273;400;12,96
DI x pré;282;413;12,92
DI x pré;284;415;12,91
DI x pré;287;421;12,90
DI x pré;292;428;12,88
DI x pré;304;446;12,84
DI x pré;308;450;12,83
DI x pré;325;476;12,78
DI x pré;328;481;12,77
DI x pré;336;491;12,74
DI x pré;346;505;12,72
DI x pré;349;510;12,71
DI x pré;358;523;12,69
DI x pré;368;537;12,67
DI x pré;370;539;12,67
DI x pré;371;540;12,67
DI x pré;389;567;12,63
DI x pré;392;572;12,63
DI x pré;394;574;12,63
DI x pré;401;583;12,62
DI x pré;408;595;12,60
DI x pré;411;600;12,59
DI x pré;421;614;12,57
DI x pré;430;629;12,55
DI x pré;431;630;12,55
DI x pré;441;644;12,54
DI x pré;451;658;12,54
DI x pré;453;660;12,54
DI x pré;464;677;12,54
DI x pré;474;691;12,53
DI x pré;495;720;12,53
DI x pré;496;721;12,53
DI x pré;514;749;12,52
DI x pré;515;750;12,52
DI x pré;527;768;12,52
DI x pré;534;777;12,52
DI x pré;536;782;12,52
DI x pré;554;810;12,52
DI x pré;567;827;12,52
DI x pré;576;840;12,53
DI x pré;580;847;12,53
DI x pré;588;859;12,53
DI x pré;597;870;12,53
DI x pré;618;901;12,54
DI x pré;619;902;12,54
DI x pré;632;919;12,54
DI x pré;638;930;12,55
DI x pré;644;938;12,55
DI x pré;652;950;12,55
DI x pré;660;961;12,56
DI x pré;673;980;12,56
DI x pré;680;992;12,57
DI x pré;682;995;12,57
DI x pré;692;1010;12,57
DI x pré;698;1020;12,57
DI x pré;712;1042;12,58
DI x pré;718;1050;12,59
DI x pré;740;1080;12,61
DI x pré;742;1086;12,61
DI x pré;759;1111;12,63
DI x pré;773;1132;12,64
DI x pré;779;1140;12,65
DI x pré;800;1170;12,67
DI x pré;803;1175;12,67
DI x pré;821;1202;12,69
DI x pré;836;1223;12,70
DI x pré;858;1253;12,72
DI x pré;868;1267;12,73
DI x pré;900;1314;12,76
DI x pré;922;1345;12,78
DI x pré;931;1360;12,78
DI x pré;941;1377;12,79
DI x pré;961;1407;12,81
DI x pré;984;1440;12,82
DI x pré;993;1451;12,83
DI x pré;1022;1496;12,85
DI x pré;1052;1540;12,88
DI x pré;1084;1587;12,90
DI x pré;1117;1632;12,92
DI x pré;1141;1666;12,94
DI x pré;1150;1679;12,94
DI x pré;1183;1727;12,97
DI x pré;1204;1757;12,98
DI x pré;1213;1772;12,99
DI x pré;1233;1800;13,00
DI x pré;1245;1818;13,01
DI x pré;1265;1848;13,02
DI x pré;1274;1861;13,02
DI x pré;1303;1905;13,04
DI x pré;1315;1923;13,05
DI x pré;1326;1939;13,06
DI x pré;1335;1952;13,06
DI x pré;1368;1997;13,08
DI x pré;1379;2014;13,09
DI x pré;1391;2030;13,09
