Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,40
DI x pré;5;7;14,37
DI x pré;6;8;14,36
DI x pré;7;9;14,36
DI x pré;8;10;14,36
DI x pré;9;11;14,36
DI x pré;10;14;14,36
DI x pré;14;18;14,36
DI x pré;15;21;14,36
DI x pré;16;22;14,36
DI x pré;17;23;14,36
DI x pré;22;30;14,35
DI x pré;25;35;14,35
DI x pré;26;36;14,35
DI x pré;27;37;14,35
DI x pré;29;39;14,35
DI x pré;33;45;14,34
DI x pré;37;51;14,34
DI x pré;38;52;14,34
DI x pré;39;53;14,34
DI x pré;40;56;14,34
DI x pré;44;60;14,34
DI x pré;47;65;14,34
DI x pré;50;70;14,35
DI x pré;51;71;14,35
DI x pré;52;72;14,35
DI x pré;54;74;14,35
DI x pré;58;80;14,35
DI x pré;59;81;14,35
DI x pré;60;84;14,35
DI x pré;61;85;14,35
DI x pré;65;92;14,36
DI x pré;70;99;14,36
DI x pré;71;100;14,36
DI x pré;72;101;14,36
DI x pré;73;102;14,36
DI x pré;75;106;14,37
DI x pré;81;114;14,37
DI x pré;82;115;14,37
DI x pré;85;120;14,38
DI x pré;90;128;14,39
DI x pré;91;129;14,39
DI x pré;92;130;14,39
DI x pré;94;134;14,39
DI x pré;95;135;14,39
DI x pré;100;142;14,40
DI x pré;101;143;14,40
DI x pré;102;144;14,40
DI x pré;103;148;14,40
DI x pré;105;150;14,41
DI x pré;112;161;14,43
DI x pré;113;162;14,43
DI x pré;114;163;14,43
DI x pré;115;164;14,44
DI x pré;121;175;14,45
DI x pré;122;176;14,45
DI x pré;126;182;14,46
DI x pré;132;190;14,46
DI x pré;133;191;14,46
DI x pré;135;193;14,47
DI x pré;140;203;14,47
DI x pré;141;204;14,47
DI x pré;142;205;14,47
DI x pré;144;210;14,47
DI x pré;153;221;14,50
DI x pré;163;235;14,53
DI x pré;164;238;14,53
DI x pré;166;240;14,54
DI x pré;171;249;14,56
DI x pré;172;252;14,56
DI x pré;173;253;14,57
DI x pré;174;254;14,57
DI x pré;179;261;14,59
DI x pré;180;262;14,59
DI x pré;181;263;14,60
DI x pré;182;266;14,60
DI x pré;186;270;14,61
DI x pré;192;280;14,62
DI x pré;196;284;14,63
DI x pré;197;287;14,63
DI x pré;201;294;14,64
