Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;2;2;14,90
DI x pré;3;7;14,90
DI x pré;4;8;14,90
DI x pré;5;9;14,90
DI x pré;8;14;14,90
DI x pré;9;15;14,90
DI x pré;10;16;14,90
DI x pré;11;19;14,90
DI x pré;13;21;14,87
DI x pré;20;30;14,82
DI x pré;21;33;14,82
DI x pré;22;34;14,81
DI x pré;23;35;14,81
DI x pré;24;36;14,80
DI x pré;25;37;14,80
DI x pré;26;40;14,80
DI x pré;30;44;14,79
DI x pré;31;47;14,79
DI x pré;32;48;14,78
DI x pré;33;49;14,78
DI x pré;40;61;14,72
DI x pré;41;62;14,72
DI x pré;42;63;14,71
DI x pré;43;64;14,70
DI x pré;44;65;14,70
DI x pré;48;72;14,68
DI x pré;50;76;14,67
DI x pré;52;78;14,66
DI x pré;53;82;14,66
DI x pré;59;90;14,58
DI x pré;60;91;14,57
DI x pré;62;93;14,55
DI x pré;64;97;14,53
DI x pré;65;98;14,52
DI x pré;66;99;14,51
DI x pré;72;107;14,46
DI x pré;73;110;14,45
DI x pré;80;120;14,38
DI x pré;82;124;14,36
DI x pré;83;125;14,36
DI x pré;84;126;14,35
DI x pré;85;127;14,34
DI x pré;86;128;14,33
DI x pré;91;135;14,30
DI x pré;92;138;14,29
DI x pré;93;139;14,28
DI x pré;94;140;14,28
DI x pré;102;152;14,21
DI x pré;104;154;14,19
DI x pré;110;162;14,15
DI x pré;115;169;14,12
DI x pré;116;170;14,11
DI x pré;117;173;14,11
DI x pré;122;180;14,06
DI x pré;124;182;14,04
DI x pré;127;187;14,01
DI x pré;135;197;13,95
DI x pré;136;198;13,94
DI x pré;137;201;13,94
DI x pré;138;202;13,93
DI x pré;143;210;13,88
DI x pré;147;216;13,85
DI x pré;148;217;13,84
DI x pré;150;219;13,83
DI x pré;152;223;13,81
DI x pré;158;231;13,77
DI x pré;159;232;13,76
DI x pré;165;240;13,71
DI x pré;167;245;13,70
DI x pré;168;246;13,69
DI x pré;169;247;13,68
DI x pré;177;259;13,63
DI x pré;179;261;13,61
DI x pré;180;265;13,61
DI x pré;184;271;13,58
DI x pré;189;278;13,55
DI x pré;191;280;13,53
DI x pré;192;281;13,53
DI x pré;198;292;13,49
DI x pré;199;293;13,48
DI x pré;204;300;13,45
DI x pré;209;307;13,41
DI x pré;210;308;13,41
DI x pré;212;310;13,39
DI x pré;217;320;13,36
DI x pré;218;321;13,36
DI x pré;219;322;13,35
DI x pré;221;327;13,34
DI x pré;224;330;13,32
DI x pré;230;338;13,29
DI x pré;240;352;13,24
DI x pré;241;355;13,23
DI x pré;246;364;13,21
DI x pré;249;369;13,19
DI x pré;250;370;13,19
DI x pré;251;371;13,18
DI x pré;256;378;13,16
DI x pré;257;379;13,15
DI x pré;258;380;13,15
DI x pré;264;390;13,12
DI x pré;269;397;13,10
DI x pré;280;413;13,06
DI x pré;281;414;13,05
DI x pré;285;420;13,04
DI x pré;290;427;13,02
DI x pré;300;442;12,98
DI x pré;306;450;12,96
DI x pré;312;460;12,94
DI x pré;326;481;12,90
DI x pré;333;490;12,88
DI x pré;344;505;12,85
DI x pré;347;510;12,84
DI x pré;354;519;12,82
DI x pré;366;537;12,79
DI x pré;369;540;12,79
DI x pré;376;551;12,78
DI x pré;378;553;12,77
DI x pré;391;572;12,75
DI x pré;397;581;12,74
DI x pré;402;588;12,73
DI x pré;409;597;12,72
DI x pré;410;600;12,72
DI x pré;416;609;12,71
DI x pré;430;630;12,69
DI x pré;438;643;12,68
DI x pré;451;660;12,67
DI x pré;459;672;12,66
DI x pré;472;691;12,65
DI x pré;493;720;12,64
DI x pré;503;734;12,64
DI x pré;504;735;12,64
DI x pré;513;750;12,64
DI x pré;522;763;12,64
DI x pré;535;782;12,64
DI x pré;553;811;12,64
DI x pré;562;824;12,64
DI x pré;574;840;12,64
DI x pré;575;841;12,64
DI x pré;588;861;12,64
DI x pré;595;870;12,64
DI x pré;596;873;12,64
DI x pré;616;901;12,65
DI x pré;627;916;12,66
DI x pré;637;930;12,67
DI x pré;640;933;12,67
DI x pré;652;952;12,67
DI x pré;658;960;12,68
DI x pré;660;964;12,68
DI x pré;679;992;12,69
DI x pré;690;1009;12,70
DI x pré;696;1020;12,70
DI x pré;717;1050;12,71
DI x pré;720;1056;12,71
DI x pré;738;1080;12,74
DI x pré;750;1100;12,75
DI x pré;757;1111;12,76
DI x pré;778;1140;12,78
DI x pré;781;1146;12,78
DI x pré;799;1170;12,80
DI x pré;811;1189;12,81
DI x pré;820;1202;12,82
DI x pré;844;1237;12,84
DI x pré;866;1267;12,86
DI x pré;876;1281;12,87
DI x pré;908;1328;12,90
DI x pré;939;1374;12,93
DI x pré;969;1421;12,96
DI x pré;982;1440;12,97
DI x pré;1001;1465;12,98
DI x pré;1030;1510;13,00
DI x pré;1060;1554;13,03
DI x pré;1092;1601;13,06
DI x pré;1125;1646;13,08
DI x pré;1149;1680;13,09
DI x pré;1158;1693;13,10
DI x pré;1191;1741;13,13
DI x pré;1212;1771;13,15
DI x pré;1221;1786;13,16
DI x pré;1231;1800;13,16
DI x pré;1253;1832;13,18
DI x pré;1273;1862;13,19
DI x pré;1282;1875;13,19
DI x pré;1311;1919;13,21
DI x pré;1323;1937;13,22
DI x pré;1334;1953;13,23
DI x pré;1343;1966;13,23
DI x pré;1376;2011;13,25
DI x pré;1387;2028;13,26
DI x pré;1399;2044;13,26
DI x pré;1409;2058;13,27
DI x pré;1442;2105;13,29
DI x pré;1473;2151;13,32
DI x pré;1479;2161;13,32
DI x pré;1502;2196;13,33
