Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;2;2;14,90
DI x pré;3;3;14,90
DI x pré;5;7;14,90
DI x pré;7;9;14,89
DI x pré;8;10;14,89
DI x pré;9;11;14,89
DI x pré;10;14;14,89
DI x pré;15;21;14,89
DI x pré;19;25;14,89
DI x pré;20;30;14,89
DI x pré;21;31;14,88
DI x pré;22;32;14,88
DI x pré;25;37;14,88
DI x pré;26;38;14,88
DI x pré;27;39;14,88
DI x pré;28;42;14,88
DI x pré;38;56;14,86
DI x pré;39;57;14,86
DI x pré;40;58;14,85
DI x pré;41;59;14,85
DI x pré;42;60;14,85
DI x pré;43;63;14,85
DI x pré;47;67;14,84
DI x pré;49;71;14,84
DI x pré;50;72;14,84
DI x pré;58;85;14,81
DI x pré;59;86;14,81
DI x pré;60;87;14,81
DI x pré;61;88;14,80
DI x pré;62;91;14,80
DI x pré;65;95;14,79
DI x pré;67;99;14,79
DI x pré;69;101;14,78
DI x pré;70;105;14,78
DI x pré;77;114;14,73
DI x pré;79;116;14,71
DI x pré;81;120;14,70
DI x pré;82;121;14,69
DI x pré;83;122;14,69
DI x pré;89;130;14,65
DI x pré;90;133;14,65
DI x pré;99;147;14,59
DI x pré;100;148;14,59
DI x pré;101;149;14,58
DI x pré;102;150;14,58
DI x pré;103;151;14,57
DI x pré;108;158;14,55
DI x pré;109;161;14,54
DI x pré;110;162;14,54
DI x pré;111;163;14,54
DI x pré;121;177;14,47
DI x pré;124;182;14,45
DI x pré;127;185;14,43
DI x pré;132;192;14,41
DI x pré;133;193;14,40
DI x pré;134;196;14,40
DI x pré;141;205;14,35
DI x pré;144;210;14,33
DI x pré;152;220;14,28
DI x pré;153;221;14,27
DI x pré;154;224;14,27
DI x pré;155;225;14,26
DI x pré;164;239;14,20
DI x pré;165;240;14,19
DI x pré;167;242;14,18
DI x pré;169;246;14,17
DI x pré;175;254;14,13
DI x pré;176;255;14,12
DI x pré;184;268;14,07
DI x pré;185;269;14,07
DI x pré;186;270;14,06
DI x pré;194;282;14,01
DI x pré;196;284;14,00
DI x pré;197;288;14,00
DI x pré;206;301;13,94
DI x pré;208;303;13,93
DI x pré;209;304;13,93
DI x pré;215;315;13,90
DI x pré;216;316;13,89
DI x pré;226;330;13,83
DI x pré;227;331;13,82
DI x pré;229;333;13,81
DI x pré;234;343;13,78
DI x pré;236;345;13,77
DI x pré;238;350;13,76
DI x pré;246;360;13,72
DI x pré;247;361;13,72
DI x pré;257;375;13,67
DI x pré;266;392;13,64
DI x pré;267;393;13,63
DI x pré;268;394;13,63
DI x pré;273;401;13,61
DI x pré;275;403;13,60
DI x pré;286;420;13,56
DI x pré;297;436;13,52
DI x pré;298;437;13,52
DI x pré;307;450;13,49
DI x pré;328;480;13,43
DI x pré;329;483;13,42
DI x pré;348;511;13,37
DI x pré;350;513;13,37
DI x pré;361;528;13,34
DI x pré;369;540;13,32
DI x pré;383;560;13,29
DI x pré;391;570;13,28
DI x pré;393;574;13,27
DI x pré;395;576;13,27
DI x pré;412;602;13,24
DI x pré;414;604;13,24
DI x pré;419;611;13,23
DI x pré;426;620;13,22
DI x pré;432;630;13,21
DI x pré;433;632;13,21
DI x pré;452;660;13,18
DI x pré;455;666;13,18
DI x pré;473;690;13,16
DI x pré;476;695;13,16
DI x pré;489;714;13,14
DI x pré;494;721;13,14
DI x pré;515;750;13,13
DI x pré;520;757;13,13
DI x pré;535;780;13,13
DI x pré;539;786;13,13
DI x pré;552;805;13,13
DI x pré;557;812;13,13
DI x pré;574;840;13,12
DI x pré;579;847;13,12
DI x pré;592;864;13,12
DI x pré;596;870;13,12
DI x pré;605;884;13,12
DI x pré;613;896;13,12
DI x pré;617;900;13,12
DI x pré;638;931;13,13
DI x pré;644;939;13,14
DI x pré;657;956;13,14
DI x pré;659;960;13,14
DI x pré;669;975;13,15
DI x pré;677;987;13,15
DI x pré;680;990;13,15
DI x pré;700;1022;13,16
DI x pré;707;1032;13,16
DI x pré;718;1050;13,16
DI x pré;737;1079;13,17
DI x pré;738;1080;13,17
DI x pré;760;1110;13,19
DI x pré;767;1123;13,19
DI x pré;779;1141;13,20
DI x pré;798;1169;13,21
DI x pré;799;1170;13,21
DI x pré;820;1200;13,23
DI x pré;828;1212;13,24
DI x pré;861;1260;13,26
DI x pré;883;1290;13,28
DI x pré;893;1304;13,28
DI x pré;925;1351;13,30
DI x pré;956;1397;13,32
DI x pré;985;1442;13,34
DI x pré;986;1444;13,34
DI x pré;1018;1488;13,36
DI x pré;1047;1533;13,37
DI x pré;1077;1577;13,39
DI x pré;1109;1624;13,42
DI x pré;1142;1669;13,43
DI x pré;1166;1703;13,44
DI x pré;1175;1716;13,44
DI x pré;1208;1764;13,46
DI x pré;1229;1794;13,48
DI x pré;1233;1800;13,48
DI x pré;1238;1809;13,48
DI x pré;1270;1855;13,50
DI x pré;1290;1885;13,51
DI x pré;1299;1898;13,51
DI x pré;1328;1942;13,53
DI x pré;1340;1960;13,53
DI x pré;1351;1976;13,54
DI x pré;1360;1989;13,54
DI x pré;1393;2034;13,56
DI x pré;1404;2051;13,56
DI x pré;1416;2067;13,57
DI x pré;1426;2081;13,57
DI x pré;1459;2128;13,59
DI x pré;1482;2160;13,60
DI x pré;1490;2174;13,60
DI x pré;1519;2219;13,61
DI x pré;1582;2310;13,63
DI x pré;1646;2401;13,64
DI x pré;1708;2493;13,66
DI x pré;1727;2520;13,66
DI x pré;1742;2541;13,66
DI x pré;1773;2584;13,67
DI x pré;1833;2674;13,68
DI x pré;1897;2765;13,69
