Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;5;7;14,90
DI x pré;7;9;14,90
DI x pré;8;14;14,90
DI x pré;9;15;14,90
DI x pré;10;16;14,90
DI x pré;13;21;14,90
DI x pré;14;22;14,90
DI x pré;15;23;14,90
DI x pré;16;26;14,90
DI x pré;20;30;14,87
DI x pré;26;40;14,84
DI x pré;27;41;14,83
DI x pré;28;42;14,83
DI x pré;29;43;14,82
DI x pré;30;44;14,82
DI x pré;31;47;14,82
DI x pré;35;51;14,81
DI x pré;36;54;14,81
DI x pré;37;55;14,80
DI x pré;38;56;14,80
DI x pré;40;61;14,78
DI x pré;46;69;14,74
DI x pré;47;70;14,74
DI x pré;48;71;14,73
DI x pré;49;72;14,73
DI x pré;53;79;14,71
DI x pré;55;83;14,70
DI x pré;57;85;14,69
DI x pré;58;89;14,68
DI x pré;59;90;14,67
DI x pré;65;98;14,61
DI x pré;67;100;14,59
DI x pré;69;104;14,57
DI x pré;70;105;14,56
DI x pré;71;106;14,55
DI x pré;77;114;14,51
DI x pré;78;117;14,50
DI x pré;81;121;14,47
DI x pré;87;131;14,42
DI x pré;88;132;14,41
DI x pré;89;133;14,40
DI x pré;90;134;14,40
DI x pré;91;135;14,39
DI x pré;96;142;14,36
DI x pré;97;145;14,35
DI x pré;98;146;14,34
DI x pré;99;147;14,34
DI x pré;102;152;14,31
DI x pré;109;161;14,26
DI x pré;115;169;14,21
DI x pré;120;176;14,18
DI x pré;121;177;14,18
DI x pré;122;180;14,17
DI x pré;129;189;14,11
DI x pré;132;194;14,08
DI x pré;140;204;14,02
DI x pré;141;205;14,01
DI x pré;142;208;14,01
DI x pré;143;209;14,00
DI x pré;144;210;13,99
DI x pré;152;223;13,92
DI x pré;153;224;13,91
DI x pré;155;226;13,90
DI x pré;157;230;13,88
DI x pré;163;238;13,84
DI x pré;164;239;13,83
DI x pré;165;240;13,82
DI x pré;172;252;13,77
DI x pré;173;253;13,76
DI x pré;174;254;13,76
DI x pré;182;266;13,70
DI x pré;184;268;13,69
DI x pré;185;272;13,68
DI x pré;194;285;13,62
DI x pré;196;287;13,61
DI x pré;197;288;13,60
DI x pré;203;299;13,57
DI x pré;204;300;13,56
DI x pré;214;314;13,49
DI x pré;215;315;13,48
DI x pré;217;317;13,47
DI x pré;222;327;13,44
DI x pré;223;328;13,43
DI x pré;224;329;13,42
DI x pré;225;330;13,42
DI x pré;226;334;13,41
DI x pré;235;345;13,36
DI x pré;245;359;13,31
DI x pré;246;362;13,30
DI x pré;254;376;13,26
DI x pré;255;377;13,26
DI x pré;256;378;13,25
DI x pré;261;385;13,23
DI x pré;262;386;13,23
DI x pré;263;387;13,22
DI x pré;264;390;13,22
DI x pré;274;404;13,17
DI x pré;285;420;13,13
DI x pré;286;421;13,12
DI x pré;295;434;13,09
DI x pré;305;449;13,05
DI x pré;306;450;13,05
DI x pré;317;467;13,01
DI x pré;326;481;12,98
DI x pré;338;497;12,94
DI x pré;347;510;12,91
DI x pré;349;512;12,91
DI x pré;369;540;12,86
DI x pré;371;544;12,85
DI x pré;381;558;12,83
DI x pré;383;560;12,83
DI x pré;391;572;12,82
DI x pré;402;588;12,80
DI x pré;407;595;12,79
DI x pré;410;600;12,79
DI x pré;414;604;12,78
DI x pré;421;616;12,77
DI x pré;431;630;12,76
DI x pré;443;650;12,74
DI x pré;451;660;12,73
DI x pré;464;679;12,72
DI x pré;472;691;12,71
DI x pré;477;698;12,70
DI x pré;493;720;12,70
DI x pré;508;741;12,70
DI x pré;509;742;12,70
