Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;515;750;12,70
DI x pré;527;770;12,70
DI x pré;535;782;12,69
DI x pré;540;789;12,69
DI x pré;553;810;12,69
DI x pré;567;831;12,69
DI x pré;574;840;12,69
DI x pré;580;848;12,69
DI x pré;593;868;12,70
DI x pré;595;870;12,70
DI x pré;601;880;12,70
DI x pré;616;901;12,70
DI x pré;632;923;12,71
DI x pré;637;930;12,72
DI x pré;645;940;12,72
DI x pré;657;959;12,73
DI x pré;658;960;12,73
DI x pré;665;971;12,73
DI x pré;679;992;12,74
DI x pré;695;1016;12,75
DI x pré;697;1021;12,75
DI x pré;718;1050;12,76
DI x pré;725;1063;12,76
DI x pré;738;1080;12,77
DI x pré;755;1107;12,79
DI x pré;757;1111;12,79
DI x pré;778;1140;12,81
DI x pré;786;1153;12,81
DI x pré;799;1170;12,83
DI x pré;816;1196;12,85
DI x pré;820;1202;12,85
DI x pré;849;1244;12,88
DI x pré;871;1274;12,90
DI x pré;881;1288;12,90
DI x pré;913;1335;12,93
DI x pré;944;1381;12,95
DI x pré;974;1428;12,98
DI x pré;982;1440;12,98
DI x pré;1006;1472;13,00
DI x pré;1035;1517;13,02
DI x pré;1065;1561;13,04
DI x pré;1097;1608;13,07
DI x pré;1130;1653;13,09
DI x pré;1154;1687;13,10
DI x pré;1163;1700;13,11
DI x pré;1196;1748;13,13
DI x pré;1217;1778;13,15
DI x pré;1226;1793;13,16
DI x pré;1231;1800;13,16
DI x pré;1258;1839;13,17
DI x pré;1278;1869;13,18
DI x pré;1287;1882;13,19
DI x pré;1316;1926;13,21
DI x pré;1328;1944;13,21
DI x pré;1339;1960;13,22
DI x pré;1348;1973;13,22
DI x pré;1381;2018;13,24
DI x pré;1392;2035;13,25
DI x pré;1404;2051;13,25
DI x pré;1414;2065;13,26
DI x pré;1447;2112;13,28
DI x pré;1478;2158;13,30
DI x pré;1479;2161;13,30
DI x pré;1507;2203;13,31
DI x pré;1570;2294;13,33
DI x pré;1634;2385;13,35
DI x pré;1696;2477;13,37
DI x pré;1727;2520;13,38
DI x pré;1730;2525;13,38
DI x pré;1761;2568;13,39
DI x pré;1821;2658;13,39
DI x pré;1885;2749;13,40
DI x pré;1948;2842;13,41
DI x pré;1976;2882;13,41
DI x pré;1981;2889;13,41
DI x pré;2013;2933;13,42
DI x pré;2071;3022;13,42
DI x pré;2136;3114;13,43
DI x pré;2199;3207;13,44
DI x pré;2221;3240;13,44
DI x pré;2229;3254;13,44
DI x pré;2259;3298;13,44
DI x pré;2320;3387;13,44
DI x pré;2385;3479;13,44
DI x pré;2448;3572;13,44
DI x pré;2467;3600;13,44
DI x pré;2478;3619;13,44
DI x pré;2510;3663;13,44
DI x pré;2569;3753;13,45
DI x pré;2634;3845;13,46
DI x pré;2700;3939;13,47
DI x pré;2714;3960;13,47
DI x pré;2731;3985;13,47
DI x pré;2762;4032;13,47
DI x pré;2821;4118;13,46
DI x pré;2886;4212;13,44
DI x pré;2948;4303;13,43
DI x pré;2960;4320;13,43
DI x pré;2980;4352;13,43
DI x pré;3010;4394;13,43
DI x pré;3071;4485;13,42
DI x pré;3135;4576;13,42
DI x pré;3197;4668;13,41
DI x pré;3206;4681;13,41
DI x pré;3231;4716;13,41
DI x pré;3262;4759;13,41
DI x pré;3322;4849;13,40
DI x pré;3386;4940;13,40
DI x pré;3449;5033;13,40
DI x pré;3454;5040;13,40
DI x pré;3482;5080;13,39
DI x pré;3512;5124;13,39
DI x pré;3574;5214;13,40
DI x pré;3639;5306;13,40
DI x pré;3702;5399;13,40
DI x pré;3703;5402;13,40
DI x pré;3732;5446;13,40
DI x pré;3764;5490;13,40
DI x pré;3823;5579;13,40
DI x pré;3824;5580;13,40
DI x pré;3888;5671;13,40
DI x pré;3954;5766;13,41
DI x pré;4016;5859;13,41
DI x pré;4074;5944;13,41
DI x pré;4139;6036;13,41
DI x pré;4205;6130;13,41
DI x pré;4265;6221;13,41
DI x pré;4326;6309;13,41
DI x pré;4391;6403;13,42
DI x pré;4453;6494;13,42
DI x pré;4515;6585;13,42
DI x pré;4576;6676;13,42
DI x pré;4640;6767;13,42
DI x pré;4703;6860;13,42
DI x pré;4768;6951;13,42
DI x pré;4826;7040;13,42
DI x pré;4891;7132;13,42
DI x pré;4938;7201;13,42
DI x pré;5014;7316;13,43
DI x pré;5140;7497;13,43
DI x pré;5265;7681;13,43
DI x pré;5389;7862;13,43
DI x pré;5517;8050;13,43
DI x pré;5641;8230;13,43
DI x pré;5765;8412;13,43
DI x pré;5890;8594;13,44
DI x pré;6017;8777;13,44
DI x pré;6141;8958;13,44
DI x pré;6170;9000;13,44
DI x pré;7330;10694;13,45
DI x pré;7405;10800;13,45
DI x pré;8647;12612;13,46
