Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,90
DI x pré;5;7;14,90
DI x pré;6;8;14,90
DI x pré;7;13;14,90
DI x pré;8;14;14,90
DI x pré;9;15;14,90
DI x pré;12;20;14,90
DI x pré;13;21;14,90
DI x pré;14;22;14,90
DI x pré;15;25;14,90
DI x pré;20;32;14,86
DI x pré;25;39;14,84
DI x pré;26;40;14,83
DI x pré;27;41;14,83
DI x pré;28;42;14,83
DI x pré;29;43;14,82
DI x pré;30;46;14,82
DI x pré;34;50;14,81
DI x pré;35;53;14,81
DI x pré;36;54;14,81
DI x pré;37;55;14,80
DI x pré;39;60;14,79
DI x pré;45;68;14,74
DI x pré;46;69;14,74
DI x pré;47;70;14,73
DI x pré;48;71;14,72
DI x pré;52;78;14,70
DI x pré;54;82;14,70
DI x pré;56;84;14,69
DI x pré;57;88;14,68
DI x pré;59;90;14,66
DI x pré;64;97;14,60
DI x pré;66;99;14,58
DI x pré;68;103;14,56
DI x pré;69;104;14,55
DI x pré;70;105;14,55
DI x pré;76;113;14,50
DI x pré;77;116;14,49
DI x pré;80;120;14,46
DI x pré;86;130;14,41
DI x pré;87;131;14,40
DI x pré;88;132;14,39
DI x pré;89;133;14,39
DI x pré;90;134;14,38
DI x pré;95;141;14,34
DI x pré;96;144;14,34
DI x pré;97;145;14,33
DI x pré;98;146;14,33
DI x pré;101;151;14,30
DI x pré;108;160;14,24
DI x pré;114;168;14,19
DI x pré;119;175;14,16
DI x pré;120;176;14,15
DI x pré;121;179;14,15
DI x pré;122;180;14,14
DI x pré;128;188;14,09
DI x pré;131;193;14,06
DI x pré;139;203;14,00
DI x pré;140;204;13,99
DI x pré;141;207;13,99
DI x pré;142;208;13,98
DI x pré;144;210;13,96
DI x pré;151;222;13,90
DI x pré;152;223;13,89
DI x pré;154;225;13,88
DI x pré;156;229;13,86
DI x pré;162;237;13,82
DI x pré;163;238;13,81
DI x pré;165;242;13,79
DI x pré;171;251;13,75
DI x pré;172;252;13,74
DI x pré;173;253;13,73
DI x pré;181;265;13,68
DI x pré;183;267;13,67
DI x pré;184;271;13,66
DI x pré;193;284;13,60
DI x pré;195;286;13,58
DI x pré;196;287;13,58
DI x pré;202;298;13,54
DI x pré;203;299;13,53
DI x pré;204;300;13,52
DI x pré;213;313;13,46
DI x pré;214;314;13,46
DI x pré;216;316;13,44
DI x pré;221;326;13,41
DI x pré;222;327;13,40
DI x pré;223;328;13,40
DI x pré;225;333;13,39
DI x pré;234;344;13,34
DI x pré;244;358;13,28
DI x pré;245;361;13,28
DI x pré;253;375;13,24
DI x pré;254;376;13,23
DI x pré;255;377;13,23
DI x pré;260;384;13,20
DI x pré;261;385;13,20
DI x pré;262;386;13,19
DI x pré;264;390;13,18
DI x pré;273;403;13,14
DI x pré;284;419;13,10
DI x pré;285;420;13,10
DI x pré;294;433;13,06
DI x pré;304;448;13,02
DI x pré;306;452;13,01
DI x pré;316;466;12,98
DI x pré;325;480;12,95
DI x pré;337;496;12,91
DI x pré;347;510;12,88
DI x pré;348;511;12,88
DI x pré;369;540;12,83
DI x pré;370;543;12,82
DI x pré;380;557;12,81
DI x pré;382;559;12,80
DI x pré;390;571;12,79
DI x pré;401;587;12,77
DI x pré;406;594;12,76
DI x pré;410;600;12,76
DI x pré;413;603;12,75
DI x pré;420;615;12,74
DI x pré;431;630;12,73
DI x pré;442;649;12,71
DI x pré;451;662;12,70
DI x pré;463;678;12,69
DI x pré;471;690;12,68
DI x pré;476;697;12,68
DI x pré;493;720;12,67
DI x pré;507;740;12,67
