Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;3;14,90
DI x pré;5;7;14,90
DI x pré;10;14;14,90
DI x pré;11;19;14,90
DI x pré;12;20;14,90
DI x pré;13;21;14,90
DI x pré;16;26;14,90
DI x pré;17;27;14,90
DI x pré;18;28;14,90
DI x pré;19;31;14,90
DI x pré;29;45;14,85
DI x pré;30;46;14,85
DI x pré;31;47;14,85
DI x pré;32;48;14,84
DI x pré;33;49;14,84
DI x pré;34;52;14,84
DI x pré;38;56;14,83
DI x pré;39;59;14,83
DI x pré;40;60;14,83
DI x pré;41;61;14,83
DI x pré;49;74;14,77
DI x pré;50;75;14,77
DI x pré;51;76;14,76
DI x pré;52;77;14,76
DI x pré;56;84;14,74
DI x pré;58;88;14,73
DI x pré;60;90;14,72
DI x pré;61;94;14,72
DI x pré;68;103;14,65
DI x pré;70;105;14,63
DI x pré;72;109;14,62
DI x pré;73;110;14,61
DI x pré;74;111;14,60
DI x pré;80;119;14,56
DI x pré;81;122;14,55
DI x pré;90;136;14,48
DI x pré;91;137;14,47
DI x pré;92;138;14,46
DI x pré;93;139;14,46
DI x pré;94;140;14,45
DI x pré;99;147;14,41
DI x pré;100;150;14,41
DI x pré;101;151;14,40
DI x pré;102;152;14,40
DI x pré;112;166;14,32
DI x pré;118;174;14,28
DI x pré;122;180;14,25
DI x pré;123;181;14,25
DI x pré;124;182;14,24
DI x pré;125;185;14,23
DI x pré;132;194;14,17
DI x pré;135;199;14,15
DI x pré;143;209;14,09
DI x pré;144;210;14,08
DI x pré;145;213;14,08
DI x pré;146;214;14,07
DI x pré;155;228;13,99
DI x pré;156;229;13,98
DI x pré;158;231;13,97
DI x pré;160;235;13,95
DI x pré;164;241;13,92
DI x pré;166;243;13,91
DI x pré;167;244;13,90
DI x pré;175;257;13,84
DI x pré;176;258;13,83
DI x pré;177;259;13,83
DI x pré;184;270;13,78
DI x pré;185;271;13,77
DI x pré;187;273;13,76
DI x pré;188;277;13,75
DI x pré;197;290;13,69
DI x pré;199;292;13,68
DI x pré;200;293;13,67
DI x pré;204;300;13,64
DI x pré;206;304;13,63
DI x pré;207;305;13,62
DI x pré;217;319;13,55
DI x pré;218;320;13,55
DI x pré;220;322;13,53
DI x pré;225;332;13,50
DI x pré;226;333;13,49
DI x pré;227;334;13,49
DI x pré;229;339;13,47
DI x pré;238;350;13,42
DI x pré;244;360;13,39
DI x pré;248;364;13,36
DI x pré;257;381;13,32
DI x pré;258;382;13,31
DI x pré;259;383;13,31
DI x pré;264;390;13,28
DI x pré;265;391;13,28
DI x pré;266;392;13,28
DI x pré;277;409;13,23
DI x pré;286;423;13,19
DI x pré;288;425;13,18
DI x pré;289;426;13,18
DI x pré;298;439;13,14
DI x pré;305;451;13,11
DI x pré;308;454;13,10
DI x pré;320;472;13,05
DI x pré;326;480;13,03
DI x pré;341;502;12,97
DI x pré;347;510;12,95
DI x pré;352;517;12,94
DI x pré;369;542;12,89
DI x pré;374;549;12,88
DI x pré;384;563;12,86
DI x pré;386;565;12,86
DI x pré;389;570;12,85
DI x pré;405;593;12,82
DI x pré;410;600;12,81
DI x pré;417;609;12,80
DI x pré;424;621;12,78
DI x pré;431;630;12,77
DI x pré;446;655;12,75
