Descrição da Taxa;Dias Úteis;Dias Corridos;Preço/Taxa
DI x pré;1;1;14,15
DI x pré;2;4;14,15
DI x pré;3;5;14,15
DI x pré;4;6;14,15
DI x pré;5;7;14,15
DI x pré;6;8;14,15
DI x pré;10;14;14,15
DI x pré;14;20;14,15
DI x pré;15;21;14,15
DI x pré;16;22;14,15
DI x pré;17;25;14,15
DI x pré;22;32;14,12
DI x pré;24;34;14,10
DI x pré;27;39;14,09
DI x pré;28;40;14,09
DI x pré;29;41;14,08
DI x pré;31;43;14,08
DI x pré;35;49;14,07
DI x pré;36;50;14,06
DI x pré;37;53;14,06
DI x pré;38;54;14,06
DI x pré;42;61;14,05
DI x pré;47;68;14,04
DI x pré;48;69;14,03
DI x pré;49;70;14,03
DI x pré;50;71;14,03
DI x pré;52;75;14,03
DI x pré;56;81;14,02
DI x pré;58;83;14,02
DI x pré;59;84;14,02
DI x pré;63;90;14,01
DI x pré;67;97;14,00
DI x pré;68;98;14,00
DI x pré;69;99;14,00
DI x pré;71;103;14,00
DI x pré;72;104;14,00
DI x pré;77;111;13,99
DI x pré;78;112;13,99
DI x pré;79;113;13,99
DI x pré;80;117;13,99
DI x pré;83;120;13,99
DI x pré;89;130;13,99
DI x pré;90;131;13,99
DI x pré;91;132;13,99
DI x pré;92;133;13,99
DI x pré;98;144;13,99
DI x pré;99;145;13,99
DI x pré;103;151;13,99
DI x pré;109;159;13,99
DI x pré;110;160;13,99
DI x pré;111;161;13,99
DI x pré;112;162;13,99
DI x pré;117;172;14,00
DI x pré;118;173;14,00
DI x pré;119;174;14,00
DI x pré;121;179;14,00
DI x pré;122;180;14,00
DI x pré;130;190;14,01
DI x pré;140;204;14,02
DI x pré;141;207;14,02
DI x pré;144;210;14,02
DI x pré;148;218;14,03
DI x pré;149;221;14,03
DI x pré;150;222;14,03
DI x pré;151;223;14,03
DI x pré;156;230;14,03
DI x pré;157;231;14,03
DI x pré;158;232;14,03
DI x pré;159;235;14,03
DI x pré;164;242;14,04
DI x pré;169;249;14,04
DI x pré;173;253;14,04
DI x pré;174;256;14,04
DI x pré;178;263;14,04
DI x pré;180;265;14,04
DI x pré;181;266;14,04
DI x pré;183;270;14,05
DI x pré;190;279;14,05
DI x pré;192;281;14,05
DI x pré;199;293;14,05
DI x pré;200;294;14,05
DI x pré;201;295;14,05
DI x pré;202;298;14,05
DI x pré;204;300;14,05
DI x pré;212;312;14,05
DI x pré;215;315;14,05
DI x pré;221;326;14,05
DI x pré;222;327;14,05
DI x pré;225;330;14,05
DI x pré;233;342;14,05
DI x pré;235;344;14,05
DI x pré;242;355;14,05
DI x pré;244;357;14,05
DI x pré;246;361;14,05
DI x pré;254;371;14,05
DI x pré;266;389;14,05
DI x pré;267;390;14,05
DI x pré;275;400;14,05
DI x pré;276;403;14,05
DI x pré;278;405;14,05
DI x pré;289;420;14,05
DI x pré;297;433;14,05
DI x pré;302;440;14,05
DI x pré;309;449;14,05
DI x pré;310;452;14,05
DI x pré;316;461;14,04
DI x pré;329;480;14,04
DI x pré;338;495;14,03
DI x pré;349;510;14,03
DI x pré;359;524;14,04
DI x pré;370;539;14,04
DI x pré;371;540;14,04
DI x pré;372;543;14,04
DI x pré;392;571;14,05
DI x pré;403;586;14,06
DI x pré;404;587;14,06
DI x pré;412;601;14,07
DI x pré;422;615;14,07
DI x pré;433;630;14,08
DI x pré;435;634;14,08
DI x pré;442;643;14,09
DI x pré;453;663;14,10
DI x pré;462;676;14,10
DI x pré;472;690;14,11
DI x pré;475;693;14,11
DI x pré;484;706;14,12
DI x pré;488;713;14,12
DI x pré;493;720;14,13
DI x pré;496;725;14,13
DI x pré;515;750;14,15
DI x pré;527;768;14,16
DI x pré;536;781;14,17
DI x pré;540;785;14,18
DI x pré;552;804;14,19
DI x pré;556;810;14,19
DI x pré;560;816;14,20
DI x pré;577;840;14,21
DI x pré;581;846;14,21
DI x pré;590;861;14,22
DI x pré;596;872;14,22
DI x pré;600;876;14,22
DI x pré;616;901;14,23
DI x pré;620;908;14,23
DI x pré;636;930;14,25
DI x pré;650;952;14,26
DI x pré;656;960;14,26
DI x pré;677;991;14,28
DI x pré;681;998;14,28
DI x pré;697;1020;14,29
DI x pré;711;1041;14,30
DI x pré;718;1050;14,31
DI x pré;739;1082;14,32
DI x pré;744;1089;14,32
DI x pré;759;1110;14,33
DI x pré;766;1119;14,33
DI x pré;776;1133;14,33
DI x pré;781;1140;14,33
DI x pré;802;1170;14,34
DI x pré;808;1180;14,34
DI x pré;822;1201;14,34
DI x pré;830;1211;14,34
DI x pré;839;1226;14,34
DI x pré;849;1243;14,35
DI x pré;869;1273;14,36
DI x pré;901;1317;14,36
DI x pré;930;1362;14,36
DI x pré;960;1406;14,37
DI x pré;984;1440;14,38
DI x pré;992;1453;14,38
DI x pré;1025;1498;14,38
DI x pré;1049;1532;14,38
DI x pré;1058;1545;14,38
DI x pré;1091;1593;14,39
DI x pré;1112;1623;14,39
DI x pré;1121;1638;14,39
DI x pré;1153;1684;14,39
DI x pré;1173;1714;14,39
DI x pré;1182;1727;14,39
DI x pré;1211;1771;14,40
DI x pré;1223;1789;14,41
DI x pré;1231;1800;14,41
DI x pré;1234;1805;14,41
DI x pré;1243;1818;14,41
DI x pré;1276;1863;14,42
DI x pré;1287;1880;14,42
DI x pré;1299;1896;14,42
DI x pré;1309;1910;14,42
DI x pré;1342;1957;14,43
DI x pré;1373;2003;14,44
DI x pré;1402;2048;14,44
DI x pré;1465;2139;14,44
DI x pré;1479;2160;14,44
DI x pré;1529;2230;14,45
DI x pré;1591;2322;14,45
DI x pré;1625;2370;14,45
DI x pré;1656;2413;14,45
DI x pré;1716;2503;14,45
DI x pré;1729;2520;14,45
DI x pré;1780;2594;14,44
DI x pré;1843;2687;14,44
DI x pré;1876;2734;14,44
DI x pré;1908;2778;14,44
DI x pré;1966;2867;14,44
DI x pré;1976;2881;14,44
DI x pré;2031;2959;14,44
DI x pré;2094;3052;14,43
DI x pré;2124;3099;14,43
DI x pré;2154;3143;14,43
DI x pré;2215;3232;14,42
DI x pré;2221;3240;14,42
DI x pré;2280;3324;14,42
DI x pré;2343;3417;14,41
DI x pré;2373;3464;14,41
DI x pré;2405;3508;14,41
DI x pré;2464;3598;14,42
DI x pré;2466;3602;14,42
DI x pré;2529;3690;14,42
DI x pré;2595;3784;14,42
DI x pré;2626;3830;14,42
DI x pré;2657;3877;14,42
DI x pré;2713;3960;14,42
DI x pré;2716;3963;14,42
DI x pré;2781;4057;14,42
DI x pré;2843;4148;14,42
DI x pré;2875;4197;14,42
DI x pré;2905;4239;14,42
DI x pré;2960;4320;14,41
DI x pré;2966;4330;14,41
DI x pré;3030;4421;14,40
DI x pré;3092;4513;14,39
DI x pré;3126;4561;14,39
DI x pré;3157;4604;14,39
DI x pré;3207;4680;14,38
DI x pré;3217;4694;14,38
DI x pré;3281;4785;14,38
DI x pré;3344;4878;14,37
DI x pré;3377;4925;14,37
DI x pré;3407;4969;14,37
DI x pré;3457;5040;14,37
DI x pré;3469;5059;14,37
DI x pré;3534;5151;14,36
DI x pré;3597;5244;14,36
DI x pré;3627;5291;14,36
DI x pré;3659;5335;14,36
DI x pré;3702;5401;14,36
DI x pré;3718;5424;14,36
DI x pré;3783;5516;14,36
DI x pré;3829;5580;14,36
DI x pré;3849;5611;14,35
DI x pré;3911;5704;14,35
DI x pré;3969;5789;14,35
DI x pré;4034;5881;14,35
DI x pré;4100;5975;14,35
DI x pré;4160;6066;14,35
DI x pré;4221;6154;14,34
DI x pré;4286;6248;14,34
DI x pré;4348;6339;14,34
DI x pré;4410;6430;14,34
DI x pré;4471;6521;14,34
DI x pré;4535;6612;14,34
DI x pré;4598;6705;14,34
DI x pré;4663;6796;14,33
DI x pré;4721;6885;14,33
DI x pré;4786;6977;14,33
DI x pré;4909;7161;14,33
DI x pré;4935;7200;14,33
DI x pré;5035;7342;14,33
DI x pré;5160;7526;14,33
DI x pré;5284;7707;14,32
DI x pré;5412;7895;14,32
DI x pré;5536;8075;14,32
DI x pré;5660;8257;14,32
DI x pré;5785;8439;14,32
DI x pré;5912;8622;14,31
DI x pré;6036;8803;14,31
DI x pré;6171;9000;14,31
DI x pré;7225;10539;14,30
DI x pré;7407;10800;14,30
DI x pré;8542;12457;14,29
